,state,month,positiveIncrease,totalTestResultsIncrease,change,population,per_capita
0,AK,4,104,23414,-0.6350877192982456,737438,0.0001410288051334485
1,AK,5,276,41705,1.6538461538461537,737438,0.00037426875208492106
2,AK,6,915,76006,2.3152173913043477,737438,0.0012407822759337055
3,AK,7,2498,146456,1.7300546448087433,737438,0.0033874034156091766
4,AK,8,2272,107484,-0.09047237790232186,737438,0.0030809369736845673
5,AK,9,3864,113764,0.7007042253521126,737438,0.005239762529188894
7,AL,4,7092,103255,0.8325581395348837,4887871,0.0014509384556179981
8,AL,5,14647,160703,1.0652848279751832,4887871,0.0029966011787135954
9,AL,6,31640,231200,1.160169317949068,4887871,0.006473165924387121
10,AL,7,49054,292596,0.5503792667509482,4887871,0.010035862239408527
11,AL,8,33150,193520,-0.32421413136543403,4887871,0.006782093880955533
12,AL,9,28518,211830,-0.13972850678733031,4887871,0.005834442030078126
14,AR,4,2756,54687,0.8773841961852861,3013825,0.0009144525644322415
15,AR,5,8265,121171,1.998911465892598,3013825,0.0027423622804907386
16,AR,6,17232,192516,1.0849364791288567,3013825,0.0057176511575821425
17,AR,7,22659,199155,0.3149373259052925,3013825,0.0075183529236103625
18,AR,8,18235,238429,-0.19524250849552055,3013825,0.0060504508390500445
19,AR,9,24619,346253,0.3500959692898273,3013825,0.008168689290187717
21,AZ,4,8868,123489,1.3373748023194518,7171646,0.0012365362149777052
22,AZ,5,23017,290813,1.595511953089761,7171646,0.003209444526403004
23,AZ,6,92406,572325,3.0146847981926403,7171646,0.012884908150792719
24,AZ,7,63624,485841,-0.3114732809557821,7171646,0.008871603534251411
25,AZ,8,17004,409018,-0.7327423613730668,7171646,0.0023710038113983873
26,AZ,9,18910,510450,0.11209127264173135,7171646,0.0026367726460564283
28,CA,4,49826,902443,1.1582777440873258,39557045,0.0012595986378658973
29,CA,5,75691,1697345,0.5191064905872436,39557045,0.0019134644663169355
30,CA,6,187653,2872959,1.4791983194831617,39557045,0.004743857889283692
