,origin_state,dest_state,month,monthly_pax
0,AK,AK,3.0,56336.28114297149
1,AK,AK,4.0,10187.576905466784
2,AK,AK,5.0,20472.7482598167
3,AK,AK,6.0,41179.67483471652
4,AK,AK,7.0,52228.927140051535
5,AK,AK,8.0,50918.481871792574
6,AK,AK,9.0,42402.590988155855
7,AK,AL,3.0,193.58732955034392
8,AK,AL,4.0,43.377867026321184
9,AK,AL,5.0,113.42368277487141
10,AK,AL,6.0,183.1984501988074
11,AK,AL,7.0,368.84530602432767
12,AK,AL,8.0,411.5307638053912
13,AK,AL,9.0,429.62393017028114
14,AK,AR,3.0,117.27242944254073
15,AK,AR,4.0,42.46455435850114
16,AK,AR,5.0,128.61027749901464
17,AK,AR,6.0,228.92516814248424
18,AK,AR,7.0,423.169638875586
19,AK,AR,8.0,451.5433673589599
20,AK,AR,9.0,445.28699376545393
21,AK,AZ,3.0,4027.042987308139
22,AK,AZ,4.0,619.0180479301131
23,AK,AZ,5.0,1448.1390730833689
24,AK,AZ,6.0,2782.8428789865193
25,AK,AZ,7.0,3681.1281834009724
26,AK,AZ,8.0,3929.8277943577996
27,AK,AZ,9.0,4389.044022241228
28,AK,CA,3.0,7805.762540361516
29,AK,CA,4.0,1369.3179578548704
30,AK,CA,5.0,3218.541737273559
31,AK,CA,6.0,6192.140304871572
32,AK,CA,7.0,11235.755822523552
33,AK,CA,8.0,12050.131942057782
34,AK,CA,9.0,12204.112235418666
35,AK,CO,3.0,1986.7802127452123
36,AK,CO,4.0,374.9778177601562
37,AK,CO,5.0,1170.9515877636775
38,AK,CO,6.0,2554.070594476166
39,AK,CO,7.0,4216.454042010515
40,AK,CO,8.0,4755.776597718863
41,AK,CO,9.0,4697.769360270621
42,AK,CT,3.0,51.64834640787811
43,AK,CT,4.0,9.117347594428683
44,AK,CT,5.0,25.481064837239646
45,AK,CT,6.0,55.40158756833167
46,AK,CT,7.0,186.31988687183636
47,AK,CT,8.0,182.1989036961529
